Year,Model,Price,Exterior_Color,Drivetrain,Fuel_Type,Engine,Mileage,Seller_Type
2017,CR-V EX,"$21,492 ",Blue,AWD,Gasoline,1.5L Turbo,71043,Dealer
2017,CR-V EX-L,"$21,800 ",Blue,AWD,Gasoline,1.5L Turbo,96618,Dealer
2017,CR-V EX-L,"$25,995 ",Silver,AWD,Gasoline,1.5L Turbo,46512,Dealer
2017,CR-V EX-L,"$22,498 ",Silver,AWD,Gasoline,1.5L Turbo,81907,Dealer
2017,CR-V Touring,"$24,797 ",Silver,AWD,Gasoline,1.5L Turbo,76008,Dealer
2017,CR-V Touring,"$26,999 ",Silver,AWD,Gasoline,1.5L Turbo,60378,Dealer
2018,CR-V EX-L,"$26,998 ",Black,AWD,Gasoline,1.5L Turbo,46553,Dealer
2018,CR-V EX,"$24,995 ",Black,AWD,Gasoline,1.5L Turbo,46422,Dealer
2018,CR-V EX-L,"$29,590 ",Red,AWD,Gasoline,1.5L Turbo,11237,Individual
2018,CR-V EX-L,"$29,300 ",Silver,AWD,Gasoline,1.5L Turbo,67158,Dealer
2018,CR-V EX-L,"$26,994 ",Silver,AWD,Gasoline,1.5L Turbo,32373,Dealer
2018,CR-V EX-L,"$26,998 ",White,AWD,Gasoline,1.5L Turbo,42082,Dealer
2018,CR-V Touring,"$29,995 ",White,AWD,Gasoline,1.5L Turbo,60233,Dealer
2018,CR-V Touring,"$25,990 ",White,AWD,Gasoline,1.5L Turbo,67114,Dealer
2018,CR-V EX-L,"$22,279 ",White,AWD,Gasoline,1.5L Turbo,93267,Dealer
2019,CR-V EX,"$28,883 ",Black,AWD,Gasoline,1.5L Turbo,13619,Dealer
2019,CR-V Touring,"$27,987 ",Black,AWD,Gasoline,1.5L Turbo,56282,Dealer
2019,CR-V Touring,"$31,995 ",Blue,AWD,Gasoline,1.5L Turbo,30099,Dealer
2019,CR-V EX-L,"$25,500 ",Blue,AWD,Gasoline,1.5L Turbo,26114,Dealer
2019,CR-V EX,"$28,496 ",Blue,AWD,Gasoline,1.5L Turbo,28470,Dealer
2019,CR-V EX-L,"$23,500 ",Red,AWD,Gasoline,1.5L Turbo,29287,Dealer
2019,CR-V Touring,"$29,917 ",Red,AWD,Gasoline,1.5L Turbo,48095,Dealer
2019,CR-V EX-L,"$28,488 ",Silver,AWD,Gasoline,1.5L Turbo,33102,Dealer
2019,CR-V EX-L,"$29,994 ",Silver,AWD,Gasoline,1.5L Turbo,24835,Dealer
2019,CR-V EX,"$26,151 ",Silver,AWD,Gasoline,1.5L Turbo,61606,Dealer
2019,CR-V Touring,"$26,500 ",Silver,AWD,Gasoline,1.5L Turbo,57677,Dealer
2019,CR-V EX,"$28,998 ",Silver,AWD,Gasoline,1.5L Turbo,41644,Dealer
2019,CR-V EX-L,"$25,417 ",White,AWD,Gasoline,1.5L Turbo,65828,Dealer
2019,CR-V Touring,"$30,900 ",White,AWD,Gasoline,1.5L Turbo,62229,Dealer
2020,CR-V LX,"$27,000 ",Black,AWD,Gasoline,1.5L Turbo,30559,Dealer
2020,CR-V EX-L,"$31,327 ",Black,AWD,Gasoline,1.5L Turbo,30668,Dealer
2020,CR-V Touring,"$33,490 ",Black,AWD,Gasoline,1.5L Turbo,23242,Dealer
2020,CR-V EX,"$29,541 ",Blue,AWD,Gasoline,1.5L Turbo,18893,Dealer
2020,CR-V EX,"$31,488 ",Silver,AWD,Gasoline,1.5L Turbo,14325,Dealer
2020,CR-V Touring,"$24,500 ",Silver,AWD,Gasoline,1.5L Turbo,102740,Dealer
2020,CR-V EX,"$29,455 ",Silver,AWD,Gasoline,1.5L Turbo,29410,Dealer
2020,CR-V EX-L,"$29,995 ",Silver,AWD,Gasoline,1.5L Turbo,34773,Dealer
2020,CR-V LX,"$27,670 ",White,AWD,Gasoline,1.5L Turbo,25964,Dealer
2020,CR-V LX,"$26,779 ",White,AWD,Gasoline,1.5L Turbo,27682,Dealer
2020,CR-V EX-L,"$32,200 ",White,AWD,Gasoline,1.5L Turbo,29396,Dealer
2020,CR-V EX,"$28,995 ",White,AWD,Gasoline,1.5L Turbo,32651,Dealer
2020,CR-V EX-L,"$32,998 ",White,AWD,Gasoline,1.5L Turbo,25575,Dealer
2020,CR-V Touring,"$30,282 ",White,AWD,Gasoline,1.5L Turbo,29945,Dealer
2021,CR-V EX,"$29,998 ",Black,AWD,Gasoline,1.5L Turbo,33570,Dealer
2021,CR-V EX-L,"$30,562 ",Black,AWD,Gasoline,1.5L Turbo,21236,Dealer
2021,CR-V EX,"$28,250 ",Blue,AWD,Gasoline,1.5L Turbo,24048,Dealer
2021,CR-V Touring,"$38,988 ",Red,AWD,Gasoline,1.5L Turbo,34045,Dealer
2021,CR-V EX-L,"$29,000 ",Red,AWD,Gasoline,1.5L Turbo,37628,Dealer
2021,CR-V Special Edition,"$28,500 ",Red,AWD,Gasoline,1.5L Turbo,16314,Dealer
2021,CR-V LX,"$28,999 ",Silver,AWD,Gasoline,1.5L Turbo,17048,Dealer
2021,CR-V Touring,"$36,990 ",Silver,AWD,Gasoline,1.5L Turbo,12777,Dealer
2021,CR-V EX-L,"$29,555 ",Silver,AWD,Gasoline,1.5L Turbo,44738,Dealer
2021,CR-V Touring,"$34,877 ",Silver,AWD,Gasoline,1.5L Turbo,33734,Dealer
2021,CR-V EX,"$31,000 ",White,AWD,Gasoline,1.5L Turbo,10338,Dealer
2021,CR-V EX,"$28,919 ",White,AWD,Gasoline,1.5L Turbo,19665,Dealer
2021,CR-V Special Edition,"$31,998 ",White,AWD,Gasoline,1.5L Turbo,25563,Dealer
2022,CR-V EX-L,"$35,998 ",Black,AWD,Gasoline,1.5L Turbo,13044,Dealer
2022,CR-V EX-L,"$34,225 ",Black,AWD,Gasoline,1.5L Turbo,2,Dealer
2022,CR-V Touring,"$37,845 ",Black,AWD,Gasoline,1.5L Turbo,3,Dealer
2022,CR-V Touring,"$36,977 ",Black,AWD,Gasoline,1.5L Turbo,11640,Dealer
2022,CR-V EX,"$31,635 ",Blue,AWD,Gasoline,1.5L Turbo,3630,Dealer
2022,CR-V Touring,"$36,877 ",Blue,AWD,Gasoline,1.5L Turbo,14106,Dealer
2022,CR-V EX,"$31,635 ",Blue,AWD,Gasoline,1.5L Turbo,3000,Dealer
2022,CR-V Touring,"$37,500 ",Red,AWD,Gasoline,1.5L Turbo,8144,Dealer
2022,CR-V EX,"$32,344 ",Red,AWD,Gasoline,1.5L Turbo,11037,Dealer
2022,CR-V Special Edition,"$30,720 ",Red,AWD,Gasoline,1.5L Turbo,6373,Dealer
2022,CR-V EX-L,"$33,496 ",Red,AWD,Gasoline,1.5L Turbo,18772,Dealer
2022,CR-V Touring,"$35,598 ",Red,AWD,Gasoline,1.5L Turbo,8000,Dealer
2022,CR-V Special Edition,"$32,995 ",Red,AWD,Gasoline,1.5L Turbo,11493,Dealer
2022,CR-V EX,"$31,635 ",Silver,AWD,Gasoline,1.5L Turbo,3,Dealer
2022,CR-V Touring,"$36,845 ",Silver,AWD,Gasoline,1.5L Turbo,10,Dealer
2022,CR-V EX,"$32,544 ",Silver,AWD,Gasoline,1.5L Turbo,8779,Dealer
2022,CR-V EX-L,"$34,225 ",Silver,AWD,Gasoline,1.5L Turbo,3500,Dealer
2022,CR-V EX,"$29,999 ",Silver,AWD,Gasoline,1.5L Turbo,14791,Dealer
2022,CR-V EX-L,"$32,995 ",Silver,AWD,Gasoline,1.5L Turbo,2292,Dealer
2022,CR-V EX,"$32,055 ",Silver,AWD,Gasoline,1.5L Turbo,9,Dealer
2022,CR-V EX,"$32,999 ",Silver,AWD,Gasoline,1.5L Turbo,8112,Dealer
2022,CR-V EX-L,"$37,085 ",Silver,AWD,Gasoline,1.5L Turbo,2401,Dealer
2022,CR-V Touring,"$37,845 ",Silver,AWD,Gasoline,1.5L Turbo,14,Dealer
2022,CR-V EX,"$32,030 ",Silver,AWD,Gasoline,1.5L Turbo,2,Dealer
2022,CR-V Touring,"$37,820 ",Silver,AWD,Gasoline,1.5L Turbo,3000,Dealer
2022,CR-V EX,"$31,944 ",Silver,AWD,Gasoline,1.5L Turbo,9324,Dealer
2022,CR-V Special Edition,"$30,997 ",Silver,AWD,Gasoline,1.5L Turbo,10602,Dealer
2022,CR-V Special Edition,"$31,295 ",Silver,AWD,Gasoline,1.5L Turbo,14151,Dealer
2022,CR-V EX-L,"$34,620 ",White,AWD,Gasoline,1.5L Turbo,3,Dealer
